rq_time,start,end,request_id
3286,2987;4613;0.523,2975;1166;0.405,104
3387,2969;7192;0.278,2975;1166;0.660,105
3415,2978;4103;0.344,2991;3010;0.342,106
3473,2990;2552;0.399,2993;4483;0.867,107
3486,2989;3808;0.290,2976;7557;0.981,108
3488,2966;2743;0.562,2970;671;0.077,109
3518,2969;7192;0.213,2983;7527;0.185,110
3541,2977;6202;0.722,2991;3010;0.762,111
3549,2988;3447;0.061,2982;2809;0.760,112
3568,2967;3896;0.881,2986;3155;0.854,113
3666,2970;671;0.594,2969;7192;0.107,114
3683,2981;6320;0.934,2993;4483;0.667,115
3702,2987;4613;0.984,2977;6202;0.474,116
3754,2992;2526;0.700,2970;671;0.988,117
3813,2978;4103;0.934,2969;7192;0.438,118
3839,2981;6320;0.982,2974;6479;0.099,119
3875,2972;6079;0.572,2975;1166;0.716,120
3896,2991;3010;0.079,2984;3012;0.014,121
3940,2974;6479;0.664,2982;2809;0.529,122
4020,2978;4103;0.003,2968;98;0.041,123
4072,2977;6202;0.917,2979;2786;0.551,124
4135,2974;6479;0.226,2970;671;0.734,125
4155,2984;3012;0.180,2976;7557;0.411,126
4164,2987;4613;0.208,2974;6479;0.531,127
4250,2992;2526;0.697,2980;914;0.273,128
4255,2978;4103;0.748,2990;2552;0.260,129
4302,2967;3896;0.851,2976;7557;0.165,130
4372,2990;2552;0.472,2983;7527;0.336,131
4441,2991;3010;0.296,2985;1140;0.904,132
4490,2977;6202;0.796,2980;914;0.815,133
4647,2966;2743;0.164,2981;6320;0.932,134
4675,2993;4483;0.726,2988;3447;0.990,135
4683,2977;6202;0.524,2979;2786;0.683,136
4728,2972;6079;0.699,2991;3010;0.162,137
4733,2978;4103;0.516,2982;2809;0.787,138
4738,2976;7557;0.659,2967;3896;0.046,139
4758,2992;2526;0.889,2966;2743;0.804,140
4822,2974;6479;0.212,2976;7557;0.305,141
4838,2975;1166;0.490,2976;7557;0.418,142
4880,2966;2743;0.122,2987;4613;0.022,143
4925,2983;7527;0.788,2976;7557;0.238,144
4994,2968;98;0.427,2987;4613;0.276,145
5048,2984;3012;0.544,2973;7354;0.743,146
5070,2988;3447;0.346,2986;3155;0.111,147
5135,2991;3010;0.852,2983;7527;0.341,148
5136,2966;2743;0.969,2988;3447;0.284,149
5154,2986;3155;0.958,2968;98;0.896,150
5166,2990;2552;0.195,2991;3010;0.343,151
5207,2979;2786;0.616,2975;1166;0.585,152
5278,2991;3010;0.058,2990;2552;0.709,153
5301,2976;7557;0.292,2970;671;0.921,154
5324,2973;7354;0.563,2984;3012;0.643,155
5378,2969;7192;0.529,2966;2743;0.724,156
5408,2971;3807;0.747,2973;7354;0.218,157
5469,2969;7192;0.888,2985;1140;0.424,158
5501,2983;7527;0.936,2974;6479;0.860,159
5566,2977;6202;0.708,2976;7557;0.174,160
5592,2966;2743;0.087,2967;3896;0.298,161
5626,2983;7527;0.877,2982;2809;0.942,162
5658,2976;7557;0.391,2987;4613;0.970,163
5680,2977;6202;0.622,2992;2526;0.377,164
5711,2975;1166;0.834,2982;2809;0.536,165
5765,2981;6320;0.171,2984;3012;0.670,166
5778,2988;3447;0.168,2984;3012;0.127,167
5778,2979;2786;0.965,2980;914;0.082,168
5797,2966;2743;0.512,2989;3808;0.710,169
5815,2990;2552;0.654,2987;4613;0.551,170
5884,2970;671;0.599,2989;3808;0.051,171
5920,2990;2552;0.205,2982;2809;0.203,172
5992,2993;4483;0.110,2966;2743;0.282,173
6076,2988;3447;0.854,2967;3896;0.330,174
6180,2986;3155;0.628,2979;2786;0.962,175
6188,2987;4613;0.330,2966;2743;0.261,176
6255,2981;6320;0.535,2972;6079;0.260,177
6268,2967;3896;0.156,2983;7527;0.637,178
6283,2989;3808;0.902,2988;3447;0.224,179
6366,2976;7557;0.378,2980;914;0.634,180
6421,2984;3012;0.838,2985;1140;0.449,181
6460,2985;1140;0.131,2980;914;0.543,182
6462,2988;3447;0.356,2978;4103;0.986,183
6478,2979;2786;0.688,2976;7557;0.359,184
6502,2988;3447;0.885,2973;7354;0.186,185
6524,2975;1166;0.009,2992;2526;0.054,186
6578,2966;2743;0.202,2976;7557;0.108,187
6583,2988;3447;0.397,2981;6320;0.781,188
6612,2982;2809;0.177,2968;98;0.404,189
6677,2984;3012;0.038,2970;671;0.963,190
6731,2993;4483;0.312,2978;4103;0.123,191
6749,2974;6479;0.830,2984;3012;0.193,192
6790,2976;7557;0.582,2984;3012;0.366,193
6816,2975;1166;0.000,2973;7354;0.969,194
6874,2988;3447;0.290,2992;2526;0.913,195
6986,2968;98;0.473,2987;4613;0.060,196
7028,2967;3896;0.345,2982;2809;0.344,197
7158,2987;4613;0.673,2984;3012;0.621,198
7176,2990;2552;0.550,2968;98;0.348,199
