trip_id,arrival_time,departure_time,stop_id,stop_sequence
196-7-0,2:23:30,2:23:30,3-0,3
196-7-0,2:24:30,2:24:30,4-0,4
196-7-0,2:25:30,2:25:30,5-0,5
196-7-0,2:26:30,2:26:30,6-0,6
196-7-0,2:27:30,2:27:30,7-0,7
196-7-0,2:29:30,2:29:30,8-0,8
196-7-0,2:30:30,2:30:30,9-0,9
196-7-0,2:32:30,2:32:30,10-0,10
196-7-0,2:34:30,2:34:30,11-0,11
196-7-0,2:35:30,2:35:30,12-0,12
196-7-0,2:37:00,2:37:00,13-0,13
196-7-0,2:38:00,2:38:00,14-0,14
196-7-0,2:40:00,2:40:00,15-0,15
196-8-0,2:40:00,2:40:00,1-0,1
196-8-0,2:42:00,2:42:00,2-0,2
196-8-0,2:43:30,2:43:30,3-0,3
196-8-0,2:44:30,2:44:30,4-0,4
196-8-0,2:45:30,2:45:30,5-0,5
196-8-0,2:46:30,2:46:30,6-0,6
196-8-0,2:47:30,2:47:30,7-0,7
196-8-0,2:49:30,2:49:30,8-0,8
196-8-0,2:50:30,2:50:30,9-0,9
196-8-0,2:52:30,2:52:30,10-0,10
196-8-0,2:54:30,2:54:30,11-0,11
196-8-0,2:55:30,2:55:30,12-0,12
196-8-0,2:57:00,2:57:00,13-0,13
196-8-0,2:58:00,2:58:00,14-0,14
196-8-0,3:00:00,3:00:00,15-0,15
196-0-1,0:00:00,0:00:00,15-1,1
196-0-1,0:02:00,0:02:00,14-1,2
196-0-1,0:03:30,0:03:30,13-1,3
196-0-1,0:04:30,0:04:30,12-1,4
196-0-1,0:05:30,0:05:30,11-1,5
196-0-1,0:06:30,0:06:30,10-1,6
196-0-1,0:07:30,0:07:30,9-1,7
196-0-1,0:09:30,0:09:30,8-1,8
196-0-1,0:10:30,0:10:30,7-1,9
196-0-1,0:12:30,0:12:30,6-1,10
196-0-1,0:14:30,0:14:30,5-1,11
196-0-1,0:15:30,0:15:30,4-1,12
196-0-1,0:17:00,0:17:00,3-1,13
196-0-1,0:18:00,0:18:00,2-1,14
196-0-1,0:20:00,0:20:00,1-1,15
196-1-1,0:20:00,0:20:00,15-1,1
196-1-1,0:22:00,0:22:00,14-1,2
196-1-1,0:23:30,0:23:30,13-1,3
196-1-1,0:24:30,0:24:30,12-1,4
196-1-1,0:25:30,0:25:30,11-1,5
196-1-1,0:26:30,0:26:30,10-1,6
196-1-1,0:27:30,0:27:30,9-1,7
196-1-1,0:29:30,0:29:30,8-1,8
196-1-1,0:30:30,0:30:30,7-1,9
196-1-1,0:32:30,0:32:30,6-1,10
196-1-1,0:34:30,0:34:30,5-1,11
196-1-1,0:35:30,0:35:30,4-1,12
196-1-1,0:37:00,0:37:00,3-1,13
196-1-1,0:38:00,0:38:00,2-1,14
196-1-1,0:40:00,0:40:00,1-1,15
196-2-1,0:40:00,0:40:00,15-1,1
196-2-1,0:42:00,0:42:00,14-1,2
196-2-1,0:43:30,0:43:30,13-1,3
196-2-1,0:44:30,0:44:30,12-1,4
196-2-1,0:45:30,0:45:30,11-1,5
196-2-1,0:46:30,0:46:30,10-1,6
196-2-1,0:47:30,0:47:30,9-1,7
196-2-1,0:49:30,0:49:30,8-1,8
196-2-1,0:50:30,0:50:30,7-1,9
196-2-1,0:52:30,0:52:30,6-1,10
196-2-1,0:54:30,0:54:30,5-1,11
196-2-1,0:55:30,0:55:30,4-1,12
196-2-1,0:57:00,0:57:00,3-1,13
196-2-1,0:58:00,0:58:00,2-1,14
196-2-1,1:00:00,1:00:00,1-1,15
196-3-1,1:00:00,1:00:00,15-1,1
196-3-1,1:02:00,1:02:00,14-1,2
196-3-1,1:03:30,1:03:30,13-1,3
196-3-1,1:04:30,1:04:30,12-1,4
196-3-1,1:05:30,1:05:30,11-1,5
196-3-1,1:06:30,1:06:30,10-1,6
196-3-1,1:07:30,1:07:30,9-1,7
196-3-1,1:09:30,1:09:30,8-1,8
196-3-1,1:10:30,1:10:30,7-1,9
196-3-1,1:12:30,1:12:30,6-1,10
196-3-1,1:14:30,1:14:30,5-1,11
196-3-1,1:15:30,1:15:30,4-1,12
196-3-1,1:17:00,1:17:00,3-1,13
196-3-1,1:18:00,1:18:00,2-1,14
196-3-1,1:20:00,1:20:00,1-1,15
196-4-1,1:20:00,1:20:00,15-1,1
196-4-1,1:22:00,1:22:00,14-1,2
196-4-1,1:23:30,1:23:30,13-1,3
196-4-1,1:24:30,1:24:30,12-1,4
196-4-1,1:25:30,1:25:30,11-1,5
196-4-1,1:26:30,1:26:30,10-1,6
196-4-1,1:27:30,1:27:30,9-1,7
196-4-1,1:29:30,1:29:30,8-1,8
196-4-1,1:30:30,1:30:30,7-1,9
196-4-1,1:32:30,1:32:30,6-1,10
196-4-1,1:34:30,1:34:30,5-1,11
196-4-1,1:35:30,1:35:30,4-1,12
196-4-1,1:37:00,1:37:00,3-1,13
196-4-1,1:38:00,1:38:00,2-1,14
196-4-1,1:40:00,1:40:00,1-1,15
196-5-1,1:40:00,1:40:00,15-1,1
196-5-1,1:42:00,1:42:00,14-1,2
196-5-1,1:43:30,1:43:30,13-1,3
196-5-1,1:44:30,1:44:30,12-1,4
196-5-1,1:45:30,1:45:30,11-1,5
196-5-1,1:46:30,1:46:30,10-1,6
196-5-1,1:47:30,1:47:30,9-1,7
196-5-1,1:49:30,1:49:30,8-1,8
196-5-1,1:50:30,1:50:30,7-1,9
196-5-1,1:52:30,1:52:30,6-1,10
196-5-1,1:54:30,1:54:30,5-1,11
196-5-1,1:55:30,1:55:30,4-1,12
196-5-1,1:57:00,1:57:00,3-1,13
196-5-1,1:58:00,1:58:00,2-1,14
196-5-1,2:00:00,2:00:00,1-1,15
196-6-1,2:00:00,2:00:00,15-1,1
196-6-1,2:02:00,2:02:00,14-1,2
196-6-1,2:03:30,2:03:30,13-1,3
196-6-1,2:04:30,2:04:30,12-1,4
196-6-1,2:05:30,2:05:30,11-1,5
196-6-1,2:06:30,2:06:30,10-1,6
196-6-1,2:07:30,2:07:30,9-1,7
196-6-1,2:09:30,2:09:30,8-1,8
196-6-1,2:10:30,2:10:30,7-1,9
196-6-1,2:12:30,2:12:30,6-1,10
196-6-1,2:14:30,2:14:30,5-1,11
196-6-1,2:15:30,2:15:30,4-1,12
196-6-1,2:17:00,2:17:00,3-1,13
196-6-1,2:18:00,2:18:00,2-1,14
196-6-1,2:20:00,2:20:00,1-1,15
196-7-1,2:20:00,2:20:00,15-1,1
196-7-1,2:22:00,2:22:00,14-1,2
196-7-1,2:23:30,2:23:30,13-1,3
196-7-1,2:24:30,2:24:30,12-1,4
196-7-1,2:25:30,2:25:30,11-1,5
196-7-1,2:26:30,2:26:30,10-1,6
196-7-1,2:27:30,2:27:30,9-1,7
196-7-1,2:29:30,2:29:30,8-1,8
196-7-1,2:30:30,2:30:30,7-1,9
196-7-1,2:32:30,2:32:30,6-1,10
196-7-1,2:34:30,2:34:30,5-1,11
196-7-1,2:35:30,2:35:30,4-1,12
196-7-1,2:37:00,2:37:00,3-1,13
196-7-1,2:38:00,2:38:00,2-1,14
196-7-1,2:40:00,2:40:00,1-1,15
196-8-1,2:40:00,2:40:00,15-1,1
196-8-1,2:42:00,2:42:00,14-1,2
196-8-1,2:43:30,2:43:30,13-1,3
196-8-1,2:44:30,2:44:30,12-1,4
196-8-1,2:45:30,2:45:30,11-1,5
196-8-1,2:46:30,2:46:30,10-1,6
196-8-1,2:47:30,2:47:30,9-1,7
196-8-1,2:49:30,2:49:30,8-1,8
196-8-1,2:50:30,2:50:30,7-1,9
196-8-1,2:52:30,2:52:30,6-1,10
196-8-1,2:54:30,2:54:30,5-1,11
196-8-1,2:55:30,2:55:30,4-1,12
196-8-1,2:57:00,2:57:00,3-1,13
196-8-1,2:58:00,2:58:00,2-1,14
196-8-1,3:00:00,3:00:00,1-1,15
U5-0-0,0:00:00,0:00:00,1-2,1
U5-0-0,0:01:00,0:01:00,17-2,2
U5-0-0,0:02:00,0:02:00,16-2,3
U5-0-0,0:03:00,0:03:00,15-2,4
U5-1-0,0:05:00,0:05:00,1-2,1
U5-1-0,0:06:00,0:06:00,17-2,2
U5-1-0,0:07:00,0:07:00,16-2,3
U5-1-0,0:08:00,0:08:00,15-2,4
U5-2-0,0:10:00,0:10:00,1-2,1
U5-2-0,0:11:00,0:11:00,17-2,2
U5-2-0,0:12:00,0:12:00,16-2,3
U5-2-0,0:13:00,0:13:00,15-2,4
U5-3-0,0:15:00,0:15:00,1-2,1
U5-3-0,0:16:00,0:16:00,17-2,2
U5-3-0,0:17:00,0:17:00,16-2,3
U5-3-0,0:18:00,0:18:00,15-2,4
U5-4-0,0:20:00,0:20:00,1-2,1
U5-4-0,0:21:00,0:21:00,17-2,2
U5-4-0,0:22:00,0:22:00,16-2,3
U5-4-0,0:23:00,0:23:00,15-2,4
U5-5-0,0:25:00,0:25:00,1-2,1
U5-5-0,0:26:00,0:26:00,17-2,2
U5-5-0,0:27:00,0:27:00,16-2,3
U5-5-0,0:28:00,0:28:00,15-2,4
U5-6-0,0:30:00,0:30:00,1-2,1
U5-6-0,0:31:00,0:31:00,17-2,2
U5-6-0,0:32:00,0:32:00,16-2,3
U5-6-0,0:33:00,0:33:00,15-2,4
U5-7-0,0:35:00,0:35:00,1-2,1
U5-7-0,0:36:00,0:36:00,17-2,2
U5-7-0,0:37:00,0:37:00,16-2,3
U5-7-0,0:38:00,0:38:00,15-2,4
U5-8-0,0:40:00,0:40:00,1-2,1
U5-8-0,0:41:00,0:41:00,17-2,2
U5-8-0,0:42:00,0:42:00,16-2,3
U5-8-0,0:43:00,0:43:00,15-2,4
U5-9-0,0:45:00,0:45:00,1-2,1
U5-9-0,0:46:00,0:46:00,17-2,2
U5-9-0,0:47:00,0:47:00,16-2,3
U5-9-0,0:48:00,0:48:00,15-2,4
U5-10-0,0:50:00,0:50:00,1-2,1
U5-10-0,0:51:00,0:51:00,17-2,2
U5-10-0,0:52:00,0:52:00,16-2,3
U5-10-0,0:53:00,0:53:00,15-2,4
U5-11-0,0:55:00,0:55:00,1-2,1
U5-11-0,0:56:00,0:56:00,17-2,2
U5-11-0,0:57:00,0:57:00,16-2,3
U5-11-0,0:58:00,0:58:00,15-2,4
U5-12-0,1:00:00,1:00:00,1-2,1
U5-12-0,1:01:00,1:01:00,17-2,2
U5-12-0,1:02:00,1:02:00,16-2,3
U5-12-0,1:03:00,1:03:00,15-2,4
U5-13-0,1:05:00,1:05:00,1-2,1
U5-13-0,1:06:00,1:06:00,17-2,2
U5-13-0,1:07:00,1:07:00,16-2,3
U5-13-0,1:08:00,1:08:00,15-2,4
U5-14-0,1:10:00,1:10:00,1-2,1
U5-14-0,1:11:00,1:11:00,17-2,2
U5-14-0,1:12:00,1:12:00,16-2,3
U5-14-0,1:13:00,1:13:00,15-2,4
U5-15-0,1:15:00,1:15:00,1-2,1
U5-15-0,1:16:00,1:16:00,17-2,2
U5-15-0,1:17:00,1:17:00,16-2,3
U5-15-0,1:18:00,1:18:00,15-2,4
U5-16-0,1:20:00,1:20:00,1-2,1
U5-16-0,1:21:00,1:21:00,17-2,2
U5-16-0,1:22:00,1:22:00,16-2,3
U5-16-0,1:23:00,1:23:00,15-2,4
U5-17-0,1:25:00,1:25:00,1-2,1
U5-17-0,1:26:00,1:26:00,17-2,2
U5-17-0,1:27:00,1:27:00,16-2,3
U5-17-0,1:28:00,1:28:00,15-2,4
U5-18-0,1:30:00,1:30:00,1-2,1
U5-18-0,1:31:00,1:31:00,17-2,2
U5-18-0,1:32:00,1:32:00,16-2,3
U5-18-0,1:33:00,1:33:00,15-2,4
U5-19-0,1:35:00,1:35:00,1-2,1
U5-19-0,1:36:00,1:36:00,17-2,2
U5-19-0,1:37:00,1:37:00,16-2,3
U5-19-0,1:38:00,1:38:00,15-2,4
U5-20-0,1:40:00,1:40:00,1-2,1
U5-20-0,1:41:00,1:41:00,17-2,2
U5-20-0,1:42:00,1:42:00,16-2,3
U5-20-0,1:43:00,1:43:00,15-2,4
U5-21-0,1:45:00,1:45:00,1-2,1
U5-21-0,1:46:00,1:46:00,17-2,2
U5-21-0,1:47:00,1:47:00,16-2,3
U5-21-0,1:48:00,1:48:00,15-2,4
U5-22-0,1:50:00,1:50:00,1-2,1
U5-22-0,1:51:00,1:51:00,17-2,2
U5-22-0,1:52:00,1:52:00,16-2,3
U5-22-0,1:53:00,1:53:00,15-2,4
U5-23-0,1:55:00,1:55:00,1-2,1
U5-23-0,1:56:00,1:56:00,17-2,2
U5-23-0,1:57:00,1:57:00,16-2,3
U5-23-0,1:58:00,1:58:00,15-2,4
U5-24-0,2:00:00,2:00:00,1-2,1
U5-24-0,2:01:00,2:01:00,17-2,2
U5-24-0,2:02:00,2:02:00,16-2,3
U5-24-0,2:03:00,2:03:00,15-2,4
U5-25-0,2:05:00,2:05:00,1-2,1
U5-25-0,2:06:00,2:06:00,17-2,2
U5-25-0,2:07:00,2:07:00,16-2,3
U5-25-0,2:08:00,2:08:00,15-2,4
U5-26-0,2:10:00,2:10:00,1-2,1
U5-26-0,2:11:00,2:11:00,17-2,2
U5-26-0,2:12:00,2:12:00,16-2,3
U5-26-0,2:13:00,2:13:00,15-2,4
U5-27-0,2:15:00,2:15:00,1-2,1
U5-27-0,2:16:00,2:16:00,17-2,2
U5-27-0,2:17:00,2:17:00,16-2,3
U5-27-0,2:18:00,2:18:00,15-2,4
U5-28-0,2:20:00,2:20:00,1-2,1
U5-28-0,2:21:00,2:21:00,17-2,2
U5-28-0,2:22:00,2:22:00,16-2,3
U5-28-0,2:23:00,2:23:00,15-2,4
U5-29-0,2:25:00,2:25:00,1-2,1
U5-29-0,2:26:00,2:26:00,17-2,2
U5-29-0,2:27:00,2:27:00,16-2,3
U5-29-0,2:28:00,2:28:00,15-2,4
U5-30-0,2:30:00,2:30:00,1-2,1
U5-30-0,2:31:00,2:31:00,17-2,2
U5-30-0,2:32:00,2:32:00,16-2,3
U5-30-0,2:33:00,2:33:00,15-2,4
U5-31-0,2:35:00,2:35:00,1-2,1
U5-31-0,2:36:00,2:36:00,17-2,2
U5-31-0,2:37:00,2:37:00,16-2,3
U5-31-0,2:38:00,2:38:00,15-2,4
U5-32-0,2:40:00,2:40:00,1-2,1
U5-32-0,2:41:00,2:41:00,17-2,2
U5-32-0,2:42:00,2:42:00,16-2,3
U5-32-0,2:43:00,2:43:00,15-2,4
U5-33-0,2:45:00,2:45:00,1-2,1
U5-33-0,2:46:00,2:46:00,17-2,2
U5-33-0,2:47:00,2:47:00,16-2,3
U5-33-0,2:48:00,2:48:00,15-2,4
U5-34-0,2:50:00,2:50:00,1-2,1
U5-34-0,2:51:00,2:51:00,17-2,2
U5-34-0,2:52:00,2:52:00,16-2,3
U5-34-0,2:53:00,2:53:00,15-2,4
U5-35-0,2:55:00,2:55:00,1-2,1
U5-35-0,2:56:00,2:56:00,17-2,2
U5-35-0,2:57:00,2:57:00,16-2,3
U5-35-0,2:58:00,2:58:00,15-2,4
U5-0-1,0:00:00,0:00:00,15-3,1
U5-0-1,0:01:00,0:01:00,16-3,2
U5-0-1,0:02:00,0:02:00,17-3,3
U5-0-1,0:03:00,0:03:00,1-3,4
U5-1-1,0:05:00,0:05:00,15-3,1
U5-1-1,0:06:00,0:06:00,16-3,2
U5-1-1,0:07:00,0:07:00,17-3,3
U5-1-1,0:08:00,0:08:00,1-3,4
U5-2-1,0:10:00,0:10:00,15-3,1
U5-2-1,0:11:00,0:11:00,16-3,2
U5-2-1,0:12:00,0:12:00,17-3,3
U5-2-1,0:13:00,0:13:00,1-3,4
U5-3-1,0:15:00,0:15:00,15-3,1
U5-3-1,0:16:00,0:16:00,16-3,2
U5-3-1,0:17:00,0:17:00,17-3,3
U5-3-1,0:18:00,0:18:00,1-3,4
U5-4-1,0:20:00,0:20:00,15-3,1
U5-4-1,0:21:00,0:21:00,16-3,2
U5-4-1,0:22:00,0:22:00,17-3,3
U5-4-1,0:23:00,0:23:00,1-3,4
U5-5-1,0:25:00,0:25:00,15-3,1
U5-5-1,0:26:00,0:26:00,16-3,2
U5-5-1,0:27:00,0:27:00,17-3,3
U5-5-1,0:28:00,0:28:00,1-3,4
U5-6-1,0:30:00,0:30:00,15-3,1
U5-6-1,0:31:00,0:31:00,16-3,2
U5-6-1,0:32:00,0:32:00,17-3,3
U5-6-1,0:33:00,0:33:00,1-3,4
U5-7-1,0:35:00,0:35:00,15-3,1
U5-7-1,0:36:00,0:36:00,16-3,2
U5-7-1,0:37:00,0:37:00,17-3,3
U5-7-1,0:38:00,0:38:00,1-3,4
U5-8-1,0:40:00,0:40:00,15-3,1
U5-8-1,0:41:00,0:41:00,16-3,2
U5-8-1,0:42:00,0:42:00,17-3,3
U5-8-1,0:43:00,0:43:00,1-3,4
U5-9-1,0:45:00,0:45:00,15-3,1
U5-9-1,0:46:00,0:46:00,16-3,2
U5-9-1,0:47:00,0:47:00,17-3,3
U5-9-1,0:48:00,0:48:00,1-3,4
U5-10-1,0:50:00,0:50:00,15-3,1
U5-10-1,0:51:00,0:51:00,16-3,2
U5-10-1,0:52:00,0:52:00,17-3,3
U5-10-1,0:53:00,0:53:00,1-3,4
U5-11-1,0:55:00,0:55:00,15-3,1
U5-11-1,0:56:00,0:56:00,16-3,2
U5-11-1,0:57:00,0:57:00,17-3,3
U5-11-1,0:58:00,0:58:00,1-3,4
U5-12-1,1:00:00,1:00:00,15-3,1
U5-12-1,1:01:00,1:01:00,16-3,2
U5-12-1,1:02:00,1:02:00,17-3,3
U5-12-1,1:03:00,1:03:00,1-3,4
U5-13-1,1:05:00,1:05:00,15-3,1
U5-13-1,1:06:00,1:06:00,16-3,2
U5-13-1,1:07:00,1:07:00,17-3,3
U5-13-1,1:08:00,1:08:00,1-3,4
U5-14-1,1:10:00,1:10:00,15-3,1
U5-14-1,1:11:00,1:11:00,16-3,2
U5-14-1,1:12:00,1:12:00,17-3,3
U5-14-1,1:13:00,1:13:00,1-3,4
U5-15-1,1:15:00,1:15:00,15-3,1
U5-15-1,1:16:00,1:16:00,16-3,2
U5-15-1,1:17:00,1:17:00,17-3,3
U5-15-1,1:18:00,1:18:00,1-3,4
U5-16-1,1:20:00,1:20:00,15-3,1
U5-16-1,1:21:00,1:21:00,16-3,2
U5-16-1,1:22:00,1:22:00,17-3,3
U5-16-1,1:23:00,1:23:00,1-3,4
U5-17-1,1:25:00,1:25:00,15-3,1
U5-17-1,1:26:00,1:26:00,16-3,2
U5-17-1,1:27:00,1:27:00,17-3,3
U5-17-1,1:28:00,1:28:00,1-3,4
U5-18-1,1:30:00,1:30:00,15-3,1
U5-18-1,1:31:00,1:31:00,16-3,2
U5-18-1,1:32:00,1:32:00,17-3,3
U5-18-1,1:33:00,1:33:00,1-3,4
U5-19-1,1:35:00,1:35:00,15-3,1
U5-19-1,1:36:00,1:36:00,16-3,2
U5-19-1,1:37:00,1:37:00,17-3,3
U5-19-1,1:38:00,1:38:00,1-3,4
U5-20-1,1:40:00,1:40:00,15-3,1
U5-20-1,1:41:00,1:41:00,16-3,2
U5-20-1,1:42:00,1:42:00,17-3,3
U5-20-1,1:43:00,1:43:00,1-3,4
U5-21-1,1:45:00,1:45:00,15-3,1
U5-21-1,1:46:00,1:46:00,16-3,2
U5-21-1,1:47:00,1:47:00,17-3,3
U5-21-1,1:48:00,1:48:00,1-3,4
U5-22-1,1:50:00,1:50:00,15-3,1
U5-22-1,1:51:00,1:51:00,16-3,2
U5-22-1,1:52:00,1:52:00,17-3,3
U5-22-1,1:53:00,1:53:00,1-3,4
U5-23-1,1:55:00,1:55:00,15-3,1
U5-23-1,1:56:00,1:56:00,16-3,2
U5-23-1,1:57:00,1:57:00,17-3,3
U5-23-1,1:58:00,1:58:00,1-3,4
U5-24-1,2:00:00,2:00:00,15-3,1
U5-24-1,2:01:00,2:01:00,16-3,2
U5-24-1,2:02:00,2:02:00,17-3,3
U5-24-1,2:03:00,2:03:00,1-3,4
U5-25-1,2:05:00,2:05:00,15-3,1
U5-25-1,2:06:00,2:06:00,16-3,2
U5-25-1,2:07:00,2:07:00,17-3,3
U5-25-1,2:08:00,2:08:00,1-3,4
U5-26-1,2:10:00,2:10:00,15-3,1
U5-26-1,2:11:00,2:11:00,16-3,2
U5-26-1,2:12:00,2:12:00,17-3,3
U5-26-1,2:13:00,2:13:00,1-3,4
U5-27-1,2:15:00,2:15:00,15-3,1
U5-27-1,2:16:00,2:16:00,16-3,2
U5-27-1,2:17:00,2:17:00,17-3,3
U5-27-1,2:18:00,2:18:00,1-3,4
U5-28-1,2:20:00,2:20:00,15-3,1
U5-28-1,2:21:00,2:21:00,16-3,2
U5-28-1,2:22:00,2:22:00,17-3,3
U5-28-1,2:23:00,2:23:00,1-3,4
U5-29-1,2:25:00,2:25:00,15-3,1
U5-29-1,2:26:00,2:26:00,16-3,2
U5-29-1,2:27:00,2:27:00,17-3,3
U5-29-1,2:28:00,2:28:00,1-3,4
U5-30-1,2:30:00,2:30:00,15-3,1
U5-30-1,2:31:00,2:31:00,16-3,2
U5-30-1,2:32:00,2:32:00,17-3,3
U5-30-1,2:33:00,2:33:00,1-3,4
U5-31-1,2:35:00,2:35:00,15-3,1
U5-31-1,2:36:00,2:36:00,16-3,2
U5-31-1,2:37:00,2:37:00,17-3,3
U5-31-1,2:38:00,2:38:00,1-3,4
U5-32-1,2:40:00,2:40:00,15-3,1
U5-32-1,2:41:00,2:41:00,16-3,2
U5-32-1,2:42:00,2:42:00,17-3,3
U5-32-1,2:43:00,2:43:00,1-3,4
U5-33-1,2:45:00,2:45:00,15-3,1
U5-33-1,2:46:00,2:46:00,16-3,2
U5-33-1,2:47:00,2:47:00,17-3,3
U5-33-1,2:48:00,2:48:00,1-3,4
U5-34-1,2:50:00,2:50:00,15-3,1
U5-34-1,2:51:00,2:51:00,16-3,2
U5-34-1,2:52:00,2:52:00,17-3,3
U5-34-1,2:53:00,2:53:00,1-3,4
U5-35-1,2:55:00,2:55:00,15-3,1
U5-35-1,2:56:00,2:56:00,16-3,2
U5-35-1,2:57:00,2:57:00,17-3,3
U5-35-1,2:58:00,2:58:00,1-3,4
